vehicle_name,traffic_control_device,weather_condition,lighting_condition,trafficway_type,roadway_surface_cond,road_defect,crash_hour,crash_day_of_week,crash_month
Honda City,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,15,5,9
Tata Nexon,OTHER,OTHER,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,5,6,11
Kia Seltos,NO CONTROLS,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",Y-INTERSECTION,DRY,WORN SURFACE,18,1,11
Hyundai Venue,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,22,5,10
Tata Harrier,STOP SIGN/FLASHER,RAIN,DUSK,NOT DIVIDED,DRY,NO DEFECTS,2,4,8
Mahindra XUV700,LANE USE MARKING,RAIN,DAYLIGHT,T-INTERSECTION,WET,NO DEFECTS,12,1,1
Hyundai Venue,NO CONTROLS,CLEAR,DAWN,FOUR WAY,OTHER,NO DEFECTS,14,6,3
Renault Kiger,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAWN,NOT REPORTED,DRY,NO DEFECTS,6,3,11
Tata Altroz,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",T-INTERSECTION,WET,NO DEFECTS,20,2,8
Skoda Slavia,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,9,3,1
Volkswagen Virtus,NO CONTROLS,CLEAR,DAWN,"FIVE POINT, OR MORE",DRY,WORN SURFACE,18,5,2
Toyota Fortuner,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,17,5,9
Mahindra Thar,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,"RUT, HOLES",16,2,1
Volkswagen Virtus,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",8,7,3
Hyundai i20,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",DEBRIS ON ROADWAY,8,3,8
Mahindra XUV700,NO CONTROLS,RAIN,DARKNESS,T-INTERSECTION,WET,NO DEFECTS,2,3,9
Tata Nexon,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,OTHER,NO DEFECTS,8,2,8
Kia Sonet,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,SHOULDER DEFECT,11,1,4
Mahindra Scorpio,TRAFFIC SIGNAL,RAIN,DARKNESS,T-INTERSECTION,WET,WORN SURFACE,19,7,9
Toyota Fortuner,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,11,6,4
Hyundai Verna,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,18,6,6
Mahindra Thar,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,SHOULDER DEFECT,13,4,9
Maruti Suzuki Wagon R,STOP SIGN/FLASHER,RAIN,DUSK,DIVIDED - W/MEDIAN BARRIER,WET,NO DEFECTS,18,4,8
Maruti Suzuki Baleno,OTHER,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,WET,SHOULDER DEFECT,22,7,11
Hyundai Venue,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,OTHER,8,2,8
Mahindra Scorpio,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,20,3,8
Tata Punch,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,WET,SHOULDER DEFECT,13,2,1
Maruti Suzuki Swift,TRAFFIC SIGNAL,RAIN,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",19,3,6
Maruti Suzuki Swift,NO CONTROLS,CLEAR,DAYLIGHT,FOUR WAY,DRY,WORN SURFACE,17,5,5
Toyota Fortuner,OTHER REG. SIGN,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,13,3,4
Tata Nexon,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,6,7,12
Tata Altroz,STOP SIGN/FLASHER,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,WORN SURFACE,3,1,6
Honda Amaze,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DUSK,OTHER,WET,NO DEFECTS,9,3,11
Mahindra Thar,NO CONTROLS,CLEAR,DARKNESS,DIVIDED - W/MEDIAN BARRIER,DRY,DEBRIS ON ROADWAY,23,7,8
Hyundai Venue,STOP SIGN/FLASHER,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,18,5,10
Maruti Suzuki Swift,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,10,6,7
Toyota Fortuner,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",FOUR WAY,WET,NO DEFECTS,19,3,8
Maruti Suzuki Baleno,STOP SIGN/FLASHER,UNKNOWN,DUSK,OTHER,UNKNOWN,SHOULDER DEFECT,18,3,7
Kia Seltos,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,UNKNOWN,NO DEFECTS,9,7,3
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DARKNESS,FOUR WAY,DRY,SHOULDER DEFECT,0,6,9
Maruti Suzuki Swift,NO CONTROLS,CLEAR,DAWN,OTHER,DRY,NO DEFECTS,6,3,5
Tata Nexon,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,OTHER,"RUT, HOLES",19,2,1
Skoda Slavia,NO CONTROLS,SLEET/HAIL,DARKNESS,NOT DIVIDED,OTHER,SHOULDER DEFECT,19,1,8
Honda Amaze,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,10,7,3
Maruti Suzuki Swift,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TRAFFIC ROUTE,DRY,NO DEFECTS,9,6,12
Honda Amaze,STOP SIGN/FLASHER,SNOW,DARKNESS,T-INTERSECTION,SNOW OR SLUSH,DEBRIS ON ROADWAY,19,5,12
Tata Harrier,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,"RUT, HOLES",20,6,12
Tata Harrier,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,18,7,6
Tata Harrier,NO CONTROLS,CLEAR,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT",SHOULDER DEFECT,16,6,1
Mahindra XUV700,NO CONTROLS,CLEAR,DUSK,NOT DIVIDED,DRY,"RUT, HOLES",8,4,12
Skoda Slavia,STOP SIGN/FLASHER,CLEAR,DAWN,NOT DIVIDED,DRY,SHOULDER DEFECT,15,2,7
Hyundai Verna,NO CONTROLS,UNKNOWN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,"RUT, HOLES",8,6,12
Honda City,TRAFFIC SIGNAL,CLEAR,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,19,2,12
Kia Seltos,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,12,6,11
Mahindra Thar,TRAFFIC SIGNAL,CLEAR,DARKNESS,T-INTERSECTION,DRY,DEBRIS ON ROADWAY,19,3,5
Skoda Slavia,RAILROAD CROSSING GATE,RAIN,DAYLIGHT,T-INTERSECTION,WET,WORN SURFACE,12,2,6
Toyota Innova,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,DRY,NO DEFECTS,19,2,11
Kia Sonet,NO CONTROLS,RAIN,DAYLIGHT,OTHER,DRY,"RUT, HOLES",11,3,6
Maruti Suzuki Brezza,NO CONTROLS,CLEAR,DUSK,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,13,3,3
Honda City,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",16,2,8
Tata Punch,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,DRY,UNKNOWN,5,2,12
Tata Nexon,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,22,4,9
Tata Nexon,NO CONTROLS,RAIN,DAYLIGHT,Y-INTERSECTION,WET,OTHER,15,7,8
Skoda Slavia,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,14,1,2
Honda City,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,WET,"RUT, HOLES",19,3,8
Maruti Suzuki Wagon R,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",19,5,12
Maruti Suzuki Wagon R,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,15,7,2
Tata Nexon,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,WET,"RUT, HOLES",21,3,7
Maruti Suzuki Brezza,STOP SIGN/FLASHER,CLEAR,DARKNESS,NOT DIVIDED,DRY,SHOULDER DEFECT,3,3,11
Hyundai i20,NO CONTROLS,CLEAR,DUSK,NOT DIVIDED,DRY,NO DEFECTS,6,6,9
Maruti Suzuki Baleno,YIELD,RAIN,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,16,3,9
Tata Harrier,NO CONTROLS,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT","RUT, HOLES",11,7,9
Nissan Magnite,NO CONTROLS,RAIN,DUSK,ONE-WAY,WET,WORN SURFACE,13,4,6
Honda City,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,OTHER,10,5,5
Hyundai Creta,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,12,5,10
Kia Sonet,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,19,1,10
Nissan Magnite,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",11,3,11
Hyundai Venue,NO CONTROLS,CLEAR,DUSK,FOUR WAY,WET,NO DEFECTS,23,2,11
Maruti Suzuki Swift,NO CONTROLS,RAIN,DUSK,NOT REPORTED,WET,OTHER,18,6,7
Honda Amaze,NO CONTROLS,CLOUDY/OVERCAST,UNKNOWN,NOT DIVIDED,DRY,NO DEFECTS,9,7,7
Kia Seltos,NO CONTROLS,CLEAR,DAYLIGHT,FOUR WAY,"SAND, MUD, DIRT",WORN SURFACE,9,2,10
Honda City,STOP SIGN/FLASHER,RAIN,DAYLIGHT,T-INTERSECTION,WET,WORN SURFACE,11,1,8
Toyota Innova,YIELD,CLEAR,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,"RUT, HOLES",19,4,9
Honda Amaze,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,DRY,WORN SURFACE,1,4,10
Maruti Suzuki Wagon R,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,FOUR WAY,DRY,"RUT, HOLES",6,1,11
Nissan Magnite,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,NO DEFECTS,21,7,6
Maruti Suzuki Wagon R,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,WORN SURFACE,16,7,6
Maruti Suzuki Swift,NO CONTROLS,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,DEBRIS ON ROADWAY,8,7,1
Mahindra XUV700,STOP SIGN/FLASHER,OTHER,DAYLIGHT,T-INTERSECTION,DRY,"RUT, HOLES",8,3,8
Mahindra Scorpio,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DARKNESS,ALLEY,DRY,UNKNOWN,19,1,1
Toyota Innova,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",20,5,7
Hyundai Venue,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",9,3,8
Nissan Magnite,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,13,2,5
Maruti Suzuki Wagon R,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,OTHER,NO DEFECTS,19,5,8
Hyundai i20,STOP SIGN/FLASHER,OTHER,DUSK,NOT DIVIDED,"SAND, MUD, DIRT",DEBRIS ON ROADWAY,18,6,1
Hyundai Venue,TRAFFIC SIGNAL,UNKNOWN,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,WORN SURFACE,19,5,1
Maruti Suzuki Baleno,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,SHOULDER DEFECT,14,3,10
Tata Harrier,NO CONTROLS,RAIN,DAWN,T-INTERSECTION,WET,"RUT, HOLES",21,4,6
Tata Punch,NO CONTROLS,RAIN,DAWN,NOT DIVIDED,WET,DEBRIS ON ROADWAY,10,5,2
Tata Punch,TRAFFIC SIGNAL,CLEAR,UNKNOWN,DIVIDED - W/MEDIAN (NOT RAISED),DRY,WORN SURFACE,7,1,7
Hyundai Creta,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,ONE-WAY,DRY,"RUT, HOLES",17,4,10
Volkswagen Virtus,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",DEBRIS ON ROADWAY,9,5,4
Tata Nexon,PEDESTRIAN CROSSING SIGN,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,DRY,"RUT, HOLES",20,1,8
Maruti Suzuki Brezza,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,"RUT, HOLES",5,4,1
Renault Kiger,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,NO DEFECTS,19,3,1
Volkswagen Virtus,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,WET,DEBRIS ON ROADWAY,10,7,7
Mahindra Scorpio,NO CONTROLS,SLEET/HAIL,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,17,4,8
Renault Kiger,UNKNOWN,RAIN,DARKNESS,PARKING LOT,WET,NO DEFECTS,1,4,8
Volkswagen Virtus,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,16,2,9
Maruti Suzuki Baleno,NO CONTROLS,CLEAR,DAYLIGHT,T-INTERSECTION,OTHER,"RUT, HOLES",17,7,12
Honda City,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,11,7,7
Volkswagen Virtus,TRAFFIC SIGNAL,RAIN,UNKNOWN,DIVIDED - W/MEDIAN (NOT RAISED),WET,WORN SURFACE,8,3,6
Maruti Suzuki Brezza,NO CONTROLS,CLEAR,DAYLIGHT,RAMP,OTHER,NO DEFECTS,15,7,10
Mahindra Thar,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,FOUR WAY,UNKNOWN,WORN SURFACE,19,5,5
Hyundai Creta,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,10,6,7
Mahindra Thar,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,TRAFFIC ROUTE,OTHER,NO DEFECTS,7,1,1
Mahindra XUV700,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,WORN SURFACE,7,1,1
Tata Nexon,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,20,4,12
Honda Amaze,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,7,1,10
Mahindra Scorpio,TRAFFIC SIGNAL,RAIN,DARKNESS,NOT DIVIDED,WET,OTHER,0,7,9
Tata Altroz,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,18,6,6
Hyundai i20,TRAFFIC SIGNAL,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,WET,NO DEFECTS,17,6,3
Hyundai Venue,NO CONTROLS,CLOUDY/OVERCAST,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT",NO DEFECTS,6,1,3
Maruti Suzuki Wagon R,NO CONTROLS,CLOUDY/OVERCAST,DAWN,NOT DIVIDED,DRY,NO DEFECTS,23,4,5
Tata Harrier,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,Y-INTERSECTION,DRY,NO DEFECTS,16,1,8
Mahindra Scorpio,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,UNKNOWN INTERSECTION TYPE,DRY,SHOULDER DEFECT,14,7,9
Tata Harrier,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,UNKNOWN,NO DEFECTS,12,5,8
Hyundai Verna,NO CONTROLS,CLEAR,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT",NO DEFECTS,21,2,5
Nissan Magnite,NO CONTROLS,UNKNOWN,DAYLIGHT,NOT REPORTED,DRY,SHOULDER DEFECT,9,5,12
Honda Amaze,YIELD,RAIN,DAWN,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",9,1,9
Toyota Innova,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,5,2,8
Mahindra XUV700,TRAFFIC SIGNAL,RAIN,UNKNOWN,NOT DIVIDED,OTHER,"RUT, HOLES",18,1,8
Volkswagen Virtus,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,16,7,7
Toyota Innova,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",16,5,4
Mahindra Thar,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,"RUT, HOLES",8,3,6
Hyundai i20,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,OTHER,17,1,9
Honda Amaze,STOP SIGN/FLASHER,RAIN,DUSK,T-INTERSECTION,UNKNOWN,NO DEFECTS,18,4,1
Mahindra XUV700,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,11,4,2
Hyundai Creta,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,19,3,1
Tata Punch,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,ONE-WAY,DRY,"RUT, HOLES",11,4,1
Hyundai Verna,NO CONTROLS,OTHER,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,18,1,11
Tata Altroz,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN BARRIER,WET,"RUT, HOLES",1,7,9
Tata Nexon,TRAFFIC SIGNAL,OTHER,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,15,2,7
Hyundai Venue,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,OTHER,22,7,2
Toyota Innova,STOP SIGN/FLASHER,RAIN,DARKNESS,NOT DIVIDED,UNKNOWN,DEBRIS ON ROADWAY,23,4,7
Maruti Suzuki Swift,OTHER REG. SIGN,OTHER,DAWN,ONE-WAY,DRY,"RUT, HOLES",9,7,7
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,OTHER,NO DEFECTS,13,5,3
Skoda Slavia,NO CONTROLS,RAIN,DAWN,NOT REPORTED,DRY,"RUT, HOLES",3,7,7
Mahindra Thar,NO CONTROLS,RAIN,DARKNESS,DIVIDED - W/MEDIAN BARRIER,WET,WORN SURFACE,20,1,6
Renault Kiger,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,15,2,8
Toyota Innova,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,Y-INTERSECTION,UNKNOWN,"RUT, HOLES",12,3,8
Hyundai Verna,NO CONTROLS,OTHER,DUSK,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,6,3,1
Mahindra XUV700,STOP SIGN/FLASHER,RAIN,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,22,7,6
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,NO DEFECTS,15,4,8
Volkswagen Virtus,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,OTHER,9,7,7
Maruti Suzuki Swift,NO CONTROLS,SLEET/HAIL,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,11,5,11
Mahindra Thar,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,7,6,8
Hyundai Verna,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,WET,OTHER,16,4,3
Volkswagen Virtus,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,WET,"RUT, HOLES",20,2,1
Maruti Suzuki Brezza,TRAFFIC SIGNAL,CLEAR,UNKNOWN,DIVIDED - W/MEDIAN (NOT RAISED),DRY,WORN SURFACE,20,1,8
Maruti Suzuki Swift,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,OTHER,NO DEFECTS,8,5,1
Hyundai Verna,PEDESTRIAN CROSSING SIGN,CLOUDY/OVERCAST,DARKNESS,FOUR WAY,WET,"RUT, HOLES",19,7,8
Honda City,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,13,1,12
Volkswagen Virtus,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,OTHER,DRY,NO DEFECTS,9,6,8
Maruti Suzuki Brezza,STOP SIGN/FLASHER,RAIN,"DARKNESS, LIGHTED ROAD",NOT REPORTED,WET,"RUT, HOLES",23,3,6
Renault Kiger,YIELD,RAIN,DAYLIGHT,CENTER TURN LANE,WET,"RUT, HOLES",10,7,8
Honda Amaze,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,7,7,7
Honda Amaze,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,UNKNOWN,WORN SURFACE,23,2,8
Hyundai i20,STOP SIGN/FLASHER,CLEAR,DUSK,NOT DIVIDED,UNKNOWN,"RUT, HOLES",6,6,12
Tata Nexon,TRAFFIC SIGNAL,RAIN,DAYLIGHT,OTHER,DRY,"RUT, HOLES",18,6,6
Toyota Innova,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,20,6,12
Maruti Suzuki Wagon R,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT",SHOULDER DEFECT,9,1,11
Skoda Slavia,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,DRY,NO DEFECTS,0,6,3
Tata Nexon,NO CONTROLS,UNKNOWN,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",12,3,1
Maruti Suzuki Brezza,NO CONTROLS,RAIN,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),WET,NO DEFECTS,6,5,2
Mahindra XUV700,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,DEBRIS ON ROADWAY,12,1,1
Honda Amaze,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,DEBRIS ON ROADWAY,18,5,1
Tata Punch,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,13,7,9
Mahindra Thar,TRAFFIC SIGNAL,UNKNOWN,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,13,2,1
Honda City,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,15,7,6
Hyundai Verna,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,DRY,NO DEFECTS,16,4,11
Tata Harrier,STOP SIGN/FLASHER,RAIN,"DARKNESS, LIGHTED ROAD",UNKNOWN INTERSECTION TYPE,DRY,SHOULDER DEFECT,20,3,1
Mahindra XUV700,YIELD,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,10,1,10
Honda City,STOP SIGN/FLASHER,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,19,5,5
Kia Sonet,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",15,2,2
Maruti Suzuki Baleno,TRAFFIC SIGNAL,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,WORN SURFACE,10,7,9
Toyota Fortuner,NO CONTROLS,RAIN,DAWN,Y-INTERSECTION,WET,NO DEFECTS,10,2,8
Tata Nexon,UNKNOWN,CLEAR,UNKNOWN,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,11,5,11
Hyundai Venue,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,16,5,9
Hyundai Verna,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT",NO DEFECTS,8,3,10
Maruti Suzuki Brezza,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DARKNESS,UNKNOWN INTERSECTION TYPE,DRY,NO DEFECTS,21,7,5
Kia Seltos,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,DEBRIS ON ROADWAY,15,2,3
Kia Seltos,STOP SIGN/FLASHER,RAIN,DARKNESS,ONE-WAY,WET,NO DEFECTS,21,6,9
Renault Kiger,TRAFFIC SIGNAL,CLEAR,DAWN,NOT DIVIDED,DRY,"RUT, HOLES",1,2,10
Nissan Magnite,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,7,1,12
Maruti Suzuki Swift,TRAFFIC SIGNAL,RAIN,DUSK,FOUR WAY,WET,"RUT, HOLES",0,7,6
